ID,Formation_E
277,174.1784
278,170.2146
279,166.2398
280,157.3719
281,162.9688
282,169.4563
283,169.8133
284,173.0556
285,170.1331
286,176.1015
287,167.2752
288,181.7508
289,175.3687
290,187.1288
291,185.7862
292,169.836
293,181.7668
294,190.8944
295,179.149
296,190.8262
297,192.3413
298,184.4518
299,188.8375
300,178.3973
301,180.783
302,189.5419
303,196.1575
304,182.4022
305,193.3366
306,195.2976
307,185.8075
308,181.9995
309,214.6913
310,198.3158
311,204.6619
312,188.6882
313,210.9161
314,188.0998
315,201.8827
316,193.9867
317,196.5859
318,205.889
319,208.4472
320,201.8624
321,215.8726
322,207.8383
323,208.2933
324,199.2555
325,198.0034
326,205.5935
327,217.9427
328,199.8163
329,215.3943
330,211.4408
331,218.3906
332,217.0822
333,216.5993
334,210.8033
335,234.3919
336,207.1098
337,229.1352
338,224.2585
339,220.776
340,234.9674
341,215.1209
342,230.5934
343,229.3564
344,236.4976
345,239.004
346,235.3401
347,244.845
348,235.3466
349,223.1522
350,235.9957
351,244.5761
352,243.1132
353,243.0079
354,241.9073
355,238.9019
356,249.7466
357,228.3465
358,226.1894
359,230.4928
360,246.0457
361,230.1811
362,235.5028
363,254.9686
364,247.3584
365,257.7374
366,236.4379
367,244.1228
368,247.9036
369,257.2946
370,245.2769
371,278.1382
372,258.0004
373,249.4875
374,243.2858
375,259.408
376,273.0038
377,268.1529
378,275.4715
379,254.2581
380,267.2654
381,254.3588
382,260.8768
383,248.7316
384,264.2499
385,252.6253
386,283.0624
387,274.7035
388,263.9639
389,271.3995
390,272.6581
391,273.9832
392,263.7969
393,270.6561
394,285.4704
395,269.0506
396,263.8252
397,261.653
398,275.1601
399,275.2034
400,263.8282
401,287.4079
402,291.314
403,265.8029
404,269.1281
405,281.8998
406,287.6115
407,285.8973
408,290.6232
409,269.0191
410,267.8092
411,294.8125
412,273.3217
413,274.2777
414,280.2932
415,277.2721
416,290.5242
417,293.1898
418,277.2128
419,303.0747
420,281.5278
421,279.9788
422,278.1792
423,304.8188
424,309.9266
425,309.9266
426,299.4991
427,300.4415
428,310.9874
429,297.7628
430,301.5095
431,315.7679
432,324.7832
433,289.8151
434,284.6131
435,310.6563
436,322.3795
437,289.2886
438,295.0405
439,311.9884
440,314.6781
441,323.799
442,296.1743
443,324.0547
444,321.8577
445,298.3767
446,306.2267
447,321.1936
448,314.361
449,310.8046
450,310.1494
451,306.3689
452,328.4501
453,353.476
454,323.1874
455,316.5576
456,321.0511
457,314.83
458,311.257
459,308.0878
460,326.1976
461,352.4184
462,314.5308
463,332.2248
464,325.746
465,339.533
466,316.63
467,330.8821
468,316.3293
469,337.8881
470,341.8348
471,333.0512
472,346.0276
473,340.4576
474,326.2673
475,328.969
476,349.2587
477,362.8432
478,365.5118
479,321.8579
480,346.9033
481,347.9119
482,349.0046
483,335.1981
484,332.8677
485,353.1277
486,332.4375
487,355.7285
488,334.0654
489,334.3636
490,336.5516
491,362.0593
492,370.8789
493,336.064
494,337.8663
495,347.3884
496,347.2748
497,372.6854
498,381.5514
499,364.0009
500,366.0157
501,367.9158
502,345.4272
503,371.4355
504,344.7697
505,345.4409
506,379.4306
507,354.4043
508,352.1532
509,383.521
510,375.842
511,357.6342
512,391.9912
513,389.7744
514,397.2071
515,359.1145
516,381.4435
517,382.5851
518,391.9272
519,386.4814
520,364.0466
521,382.9912
522,370.0242
523,367.5584
524,372.0251
525,407.9094
526,362.7656
527,390.0345
528,380.8694
529,416.101
530,414.6749
531,403.13
532,382.6295
533,405.3655
534,376.0092
535,384.7228
536,383.2698
537,370.7205
538,385.2715
539,379.9455
540,554.332
541,378.5658
542,402.5172
543,395.1519
544,410.4672
545,440.5621
546,400.8611
547,386.615
548,387.936
549,398.9219
550,416.3465
551,416.8503
552,413.364
553,418.9964
554,390.6202
555,393.8046
556,415.4527
557,395.6107
558,392.9118
559,426.5985
560,431.0833
561,395.3783
562,444.423
563,424.4832
564,394.167
565,402.1544
566,428.0216
567,412.8291
568,439.6718
569,408.935
570,451.963
571,410.2947
572,432.0888
573,450.6658
574,459.9326
575,459.0691
576,410.563
577,418.747
578,411.2808
579,418.0142
580,437.5935
581,454.1172
582,460.9564
583,461.4004
584,443.0801
585,457.5841
586,410.3738
587,420.9991
588,455.0062
589,445.3226
590,446.172
591,419.3929
592,453.073
593,448.0941
594,432.0546
595,423.868
596,423.66
597,482.7976
598,439.2891
599,454.2794
600,441.5031
601,458.1555
602,445.1188
603,432.3068
604,448.7471
605,448.042
606,441.5682
607,443.1353
608,461.9615
609,475.8796
610,452.8368
611,474.5719
612,459.9523
613,448.33
614,488.7153
615,468.6313
616,486.809
617,460.6424
618,478.8356
619,480.6933
620,457.7037
621,486.2693
622,463.0118
623,450.5023
624,484.6095
625,493.8604
626,484.5682
627,470.8868
628,461.477
629,506.1413
630,456.0599
631,463.3672
632,464.9548
633,491.7189
634,464.1178
635,541.5538
636,472.3044
637,512.9796
638,513.645
639,499.1002
640,497.3877
641,500.848
642,478.9561
643,476.1299
644,507.7072
645,528.2548
646,510.0639
647,475.6841
648,517.1501
649,475.6544
650,516.1963
651,484.1077
652,540.2245
653,494.7633
654,482.2066
655,527.8374
656,487.5364
657,538.3938
658,553.4211
659,502.8149
660,542.0176
661,490.5505
662,537.0305
663,495.4001
664,552.9161
665,493.3163
666,547.661
667,542.7205
668,526.9434
669,506.5092
670,533.6052
671,556.5159
672,553.2347
673,522.2826
674,544.303
675,488.2899
676,594.823
677,581.801
678,644.086
679,624.213
680,585.197
681,649.65
682,645.19
683,603.023
684,656.789
685,624.512
686,697.159
687,688.809
688,680.469
689,722.954
690,685.479
691,723.907
692,764.898
693,729.244
694,748.209
695,752.465
696,683.485
697,691.581
698,716.004
699,767.192
700,780.168
701,823.966
702,753.03
703,808.075
704,837.6
705,835.331
706,905.464
707,787.202
708,878.248
709,788.741
710,853.853
711,806.342
712,857.246
713,910.212
714,907.366
715,911.373
716,857.73
717,901.987
718,977.233
719,946.658
720,893.486
721,967.524
722,913.326
723,1003.881
724,1006.215
725,1053.556
726,993.372
727,1024.613
728,1061.711
729,974.59
730,1131.987
731,1078.542
732,1008.798
733,1031.303
734,1047.84
735,1160.275
736,1139.835
737,1147.786
738,1048.485
739,1135.378
740,1213.461
741,1088.573
742,1233.449
743,1190.007
744,1131.019
745,1143.92
746,1246.757
747,1238.711
748,1254.595
749,1287.089
750,1306.132
751,1188.348
752,1346.295
753,1390.083
754,1221.505
755,1377.896
756,1325.063
757,1288.555
758,1326.554
759,1368.696
760,1445.618
761,1440.132
762,1406.84
763,1467.204
764,1331.92
765,1442.19
766,1366.469
767,1537.024
768,1593.907
769,1414.162
770,1521.439
771,1525.82
772,1509.92
773,1668.213
774,1607.778
775,1602.481
776,1637.313
777,1513.96
778,1562.867
779,1791.376
780,1774.798
781,1715.331
782,1735.285
783,1782.443
784,1839.338
785,1664.697
786,1702.101
787,1838.638
788,1879.612
789,1810.238
790,1726.905
791,1982.182
792,2004.026
793,1846.484
794,2002.854
795,2032.543
796,1982.553
797,1901.321
798,1878.352
799,2148.924
800,1949.116
801,359.453
802,406.6545
803,839.933
804,1246.126
805,1634.818
806,1632.389
807,1623.572
808,1631.322
809,1631.327
810,1623.541
811,348.1926
812,367.0448
813,795.215
814,1154.867
815,1563.52
816,1688.522
817,1663.745
818,1669.506
819,1687.063
820,1678.08
821,348.0884
822,357.0902
823,672.261
824,837.015
825,1275.175
826,1494.906
827,1607.266
828,1654.168
829,1660.927
830,1664.134
831,338.2945
832,328.0685
833,539.6089
834,721.346
835,937.933
836,1136.757
837,1391.395
838,1540.964
839,1619.472
840,1666.734
841,296.6636
842,285.5544
843,438.2247
844,557.1045
845,698.422
846,939.318
847,1211.759
848,1343.994
849,1507.536
850,1627.102
851,281.3478
852,257.1053
853,370.3117
854,410.4823
855,536.2839
856,683.663
857,949.009
858,1120.498
859,1222.614
860,1361.626
861,263.0959
862,240.0125
863,269.6475
864,324.226
865,439.0314
866,471.9229
867,827.956
868,949.192
869,1106.537
870,1227.486
871,198.6795
872,193.4141
873,270.7947
874,337.8792
875,393.7808
876,503.5198
877,605.272
878,759.21
879,960.287
880,999.488
881,190.9746
882,174.4035
883,254.5175
884,312.4875
885,309.2991
886,430.473
887,453.3058
888,559.453
889,678.93
890,750.077
891,153.3759
892,146.6407
893,169.6021
894,194.7023
895,266.9035
896,307.2484
897,466.7004
898,540.7823
899,558.7677
900,617.678
901,367.6953
902,404.4109
903,834.87
904,1348.875
905,1667.912
906,1688.735
907,1681.774
908,1706.984
909,1712.038
910,1704.759
911,357.8782
912,382.5347
913,865.067
914,1224.595
915,1618.567
916,1769.559
917,1789.823
918,1775.473
919,1771.519
920,1774.584
921,354.7306
922,360.4921
923,675.483
924,848.611
925,1258.359
926,1462.666
927,1600.174
928,1689.377
929,1693.444
930,1683.496
931,345.2713
932,336.9846
933,546.4323
934,687.743
935,903.421
936,1097.815
937,1433.229
938,1614.423
939,1714.573
940,1730.336
941,309.1621
942,299.3364
943,430.9092
944,529.2852
945,722.495
946,970.453
947,1135.483
948,1454.363
949,1594.746
950,1687.992
951,278.7614
952,268.3393
953,384.2498
954,413.3944
955,563.6118
956,627.295
957,841.039
958,983.094
959,1383.389
960,1507.753
961,209.9093
962,200.7488
963,319.7609
964,383.1354
965,437.3957
966,629.96
967,646.141
968,817.134
969,1006.322
970,1235.279
971,220.3969
972,204.0742
973,283.1906
974,332.8324
975,395.4134
976,449.3837
977,603.497
978,727.215
979,833.947
980,1118.317
981,205.4429
982,189.3259
983,217.3144
984,265.3207
985,404.0504
986,416.3269
987,455.0114
988,494.581
989,716.259
990,789.629
991,137.0904
992,190.27
993,222.5608
994,238.9364
995,272.6643
996,289.2913
997,419.7459
998,480.9073
999,629.442
1000,739.988
1001,376.4751
1002,414.0312
1003,872.449
1004,1305.04
1005,1751.692
1006,1804.915
1007,1787.93
1008,1793.182
1009,1783.097
1010,1796.066
1011,374.0859
1012,401.1085
1013,873.186
1014,1201.899
1015,1703.536
1016,1863.433
1017,1901.121
1018,1925.003
1019,1930.412
1020,1921.11
1021,357.0528
1022,363.1858
1023,672.026
1024,864.961
1025,1256.351
1026,1599.303
1027,1714.264
1028,1791.341
1029,1818.97
1030,1831.005
1031,334.529
1032,326.1745
1033,527.7436
1034,722.784
1035,964.969
1036,1237.463
1037,1383.215
1038,1630.37
1039,1729.566
1040,1731.007
1041,313.86
1042,298.8086
1043,439.431
1044,588.5489
1045,698.121
1046,829.23
1047,1020.058
1048,1309.593
1049,1435.819
1050,1536.304
1051,277.563
1052,264.3688
1053,385.7839
1054,435.1786
1055,554.6861
1056,704.507
1057,903.719
1058,1096.831
1059,1332.381
1060,1495.52
1061,229.189
1062,225.927
1063,332.2483
1064,388.2235
1065,433.0156
1066,592.4788
1067,742.643
1068,863.188
1069,1181.444
1070,1275.442
1071,192.3776
1072,212.4301
1073,292.6121
1074,312.0055
1075,398.9066
1076,562.8019
1077,763.908
1078,898.579
1079,925.882
1080,986.158
1081,160.4775
1082,152.4442
1083,210.3485
1084,301.6066
1085,392.3639
1086,464.6757
1087,497.3026
1088,652.745
1089,714.224
1090,817.254
1091,163.3009
1092,153.1551
1093,229.8741
1094,248.9603
1095,299.4785
1096,335.1744
1097,437.1576
1098,547.6325
1099,689.058
1100,883.11
1101,374.9715
1102,430.0743
1103,872.936
1104,1352.505
1105,1857.882
1106,1940.573
1107,1949.952
1108,1984.029
1109,1974.078
1110,1974.348
1111,388.3318
1112,417.1808
1113,850.183
1114,1253.414
1115,1693.367
1116,1834.2
1117,1846.72
